Which game have you just played?,01. I think that I would like to play this game frequently.,02. I found the game unnecessarily complex.,03. I thought the game was easy to play.,04. I think that I would need the support of a technical person to be able to play this game.,05. I found the various functions in this game were well integrated.,06. I thought there was too much inconsistency in this game.,07. I would imagine that most people would learn to play this game very quickly.,08. I found the game very cumbersome to play.,09. I felt very confident using the game.,10. I needed to learn a lot of things before I could get going with this game.,11. I would recommend this game to a friend.,"12. Write here your remarks about the game: which feature was missing, what failed or glitched, what was great:"
Dr Bug: Microbe Mayhem,3,5,1,5,3,5,1,5,2,5,2,It is a nice game.
Superbugs: the Game,2,5,1,5,2,5,1,5,1,5,2,It is an easy innovative game.
Fungal Invasion,3,5,1,5,1,5,1,5,1,5,2,"Easy to play, innovative game."
Superbugs: the Game,1,5,1,5,5,4,1,2,1,5,1,
Dr Bug: Microbe Mayhem,4,4,2,5,4,5,5,5,4,5,5,"Visuals are nice
"
Fungal Invasion,4,2,4,4,2,2,4,2,4,4,2,
Dr Bug: Microbe Mayhem,1,4,1,5,1,5,5,5,4,5,1,
Superbugs: the Game,5,5,1,5,1,5,1,5,1,5,1,
Fungal Invasion,5,5,1,5,4,5,1,5,1,5,1,
Dr Bug: Microbe Mayhem,2,5,1,5,2,4,2,4,2,4,2,accent
Superbugs: the Game,1,4,4,5,2,4,2,1,1,4,1,The background sound was not nice but the message was delivered well
Fungal Invasion,4,4,4,2,3,4,4,4,3,1,3,The instructions were not very clear
Fungal Invasion,4,4,4,2,3,4,4,4,3,1,3,The instructions were not very clear
Dr Bug: Microbe Mayhem,4,4,1,5,3,3,2,4,2,5,4,"different types of diet which can restore the healthy gut bacteria can be included as eating fruits is not the only way to do so and also lifestyle changes associated with maintaining good gut health can make the game more interesting and a little complex, thus fun to play."
Superbugs: the Game,5,5,1,5,2,3,1,5,1,5,4,
Fungal Invasion,5,5,1,5,3,2,2,4,3,5,5,
Fungal Invasion,4,4,1,4,5,5,2,1,1,5,4,"The cursor is too cumbersome to move in the game, could not keep the syringe at the exact place. when pressed one of the antibiotic, syringe moved one position left. "
Dr Bug: Microbe Mayhem,1,4,1,5,1,5,2,2,1,5,2,"I think, there should be levels in the game. Start with just 1 sick person to keep healthy and then go on increasing the level to keeping 3 persons healthy. "
Superbugs: the Game,1,5,1,5,1,,1,5,1,5,1,
Dr Bug: Microbe Mayhem,2,2,1,2,3,4,2,3,2,2,1,during diet we should open some more option of diet sign
Superbugs: the Game,3,5,1,2,2,5,1,1,1,1,1,knowledge is very good
Fungal Invasion,2,4,2,2,3,4,1,3,1,1,1,some issues when we shift the syringe
Fungal Invasion,4,3,2,5,3,3,1,3,2,5,3,
Dr Bug: Microbe Mayhem,1,3,1,5,2,2,1,5,1,1,1,4.5
Superbugs: the Game,2,2,1,5,2,3,1,1,1,5,2,
Dr Bug: Microbe Mayhem,4,4,3,3,3,5,3,4,3,4,3,
Superbugs: the Game,2,4,3,4,2,3,2,4,2,5,1,nice game 
