index,Timestamp,ID,Which game have you just played?,01. I think that I would like to play this game frequently.,02. I found the game unnecessarily complex.,03. I thought the game was easy to play.,04. I think that I would need the support of a technical person to be able to play this game.,05. I found the various functions in this game were well integrated.,06. I thought there was too much inconsistency in this game.,07. I would imagine that most people would learn to play this game very quickly.,08. I found the game very cumbersome to play.,09. I felt very confident using the game.,10. I needed to learn a lot of things before I could get going with this game.,11. I would recommend this game to a friend.,"12. Write here your remarks about the game: which feature was missing, what failed or glitched, what was great:"
0,7/3/2019 11:23:32,20,Dr Bug: Microbe Mayhem,4,1,2,0,2,1,1,1,1,1,4,It was an ok game. Don't understand the TG.
1,7/3/2019 11:27:08,6,Dr Bug: Microbe Mayhem,0,0,3,0,3,0,3,0,0,0,0,The voice over is great
2,7/3/2019 11:29:16,15,Dr Bug: Microbe Mayhem,1,3,2,2,1,2,3,3,3,2,3,It was great to discover that the apple is more useful than the antibiotic. The voice was friendly.but the acces to the apple was so long to wait.
3,7/3/2019 11:31:07,8,Dr Bug: Microbe Mayhem,1,1,0,0,0,0,0,1,1,1,0,"i failed to take care of other kids, because i didnt know. probable because there was a step to select your kid which made me feel like i have to take care of one kid. i kinda felt bad when other 2 kids died on my watch. felt like a bad mom. but yeah its a cool game to teach kids to eat well and eat what."
4,7/3/2019 11:48:58,20,Superbugs: the Game,1,0,1,0,2,0,1,0,0,2,4,It was simple
5,7/3/2019 11:49:33,6,Superbugs: the Game,0,0,0,0,0,0,0,0,0,0,0,was fun
6,7/3/2019 11:52:55,8,Superbugs: the Game,0,0,0,0,0,0,0,0,1,0,0,it wasnt missing anything i feel. as i played the game i figured it out how long am i suppose to tap to kill and how long does it take for a special pill to come. i already recommended it to my game maker friend.  
7,7/3/2019 11:53:34,15,Superbugs: the Game,4,2,2,0,4,2,0,0,2,4,0,"I like this game. The colors match,the sound to. But i think that there no enought time to kill the bad bacteries."
8,7/3/2019 12:11:07,20,Fungal Invaders,4,2,2,2,4,4,2,4,3,0,4,The game wasn't smooth
9,7/3/2019 12:13:07,6,Fungal Invaders,2,1,2,0,2,0,2,1,2,1,2,Syringe was not moving fast enough for me 
10,7/3/2019 12:15:10,8,Fungal Invaders,4,0,0,0,4,1,0,1,1,0,4,positions of the tools to shoot and kill were placed poorly
11,7/3/2019 12:15:13,15,Fungal Invaders,3,1,3,2,2,1,2,2,2,2,2,There is no enought time to kill the big one. It comes so fastly.
